headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";"Цвет кнопки";price;stock
L522-06;"5/2 Бистабильный";"Кнопка с фиксацией";-;G1/8;G1/8;G1/8;G1/8;G1/8;770;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1492.57;"35 шт"
MV32-06S5B;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;915.87;"219 шт"
M52-08S1B;"5/2 Н.З. Моностабильный";Тумблер;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1425.26;"3 шт"
L324-15;"3/2 Бистабильный";"Кнопка с фиксацией";-;G1/2;G1/2;-;G1/2;-;"2 700";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;2234.32;"10 шт"
MJ32-08S1B;"3/2 Н.З. Моностабильный";Тумблер;"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1273.15;"0 шт"
MV32-06S1B;"3/2 Н.З. Моностабильный";Тумблер;"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;915.87;"66 шт"
MV32-06S6B;"3/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;915.87;"6 шт"
M32-08;"3/2 Н.З. Моностабильный";Толкатель;"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;1122.99;"1 шт"
M32-08S1B;"3/2 Н.З. Моностабильный";Тумблер;"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1273.15;"0 шт"
L523-08;"5/2 Бистабильный";Кнопка;-;G1/4;G1/4;G1/4;G1/4;G1/4;"1 400";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1811.02;"0 шт"
L322-06;"3/2 Бистабильный";"Кнопка с фиксацией";-;G1/8;G1/8;-;G1/8;-;750;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1359.24;"0 шт"
L524-15S;"5/2 Моностабильный";Кнопка;"Механическая пружина";G1/2;G1/2;G1/2;G1/2;G1/2;"2 750";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;2845.33;"0 шт"
L523-10S;"5/2 Моностабильный";Кнопка;"Механическая пружина";G3/8;G3/8;G3/8;G1/4;G1/4;"1 650";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;2081.57;"0 шт"
L522-08S;"5/2 Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;870;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1716.52;"0 шт"
L521-06S;"5/2 Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1716.52;"0 шт"
L324-15S;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/2;G1/2;-;G1/2;-;"2 700";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;2569.60;"0 шт"
L323-10S;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G3/8;G3/8;-;G3/8;-;"1 650";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;2028.50;"0 шт"
L322-08S;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;-;G1/4;-;870;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1565.06;"0 шт"
L321-06S;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;G1/8;-;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1565.06;"0 шт"
L524-15;"5/2 Бистабильный";"Кнопка с фиксацией";-;G1/2;G1/2;G1/2;G1/2;G1/2;"2 750";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;2473.81;"0 шт"
L523-10;"5/2 Бистабильный";"Кнопка с фиксацией";-;G3/8;G3/8;G3/8;G1/4;G1/4;"1 650";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1811.02;"0 шт"
L521-06;"5/2 Бистабильный";"Кнопка с фиксацией";-;G1/8;G1/8;G1/8;G1/8;G1/8;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1492.57;"0 шт"
L323-10;"3/2 Бистабильный";"Кнопка с фиксацией";-;G3/8;G3/8;-;G3/8;-;"1 650";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1764.42;"0 шт"
L322-08;"3/2 Бистабильный";"Кнопка с фиксацией";-;G1/4;G1/4;-;G1/4;-;870;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1359.24;"0 шт"
L321-06;"3/2 Бистабильный";"Кнопка с фиксацией";-;G1/8;G1/8;-;G1/8;-;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1359.24;"0 шт"
MJ32-08;"3/2 Н.З. Моностабильный";Толкатель;"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;1171.53;"0 шт"
MJ32-08S6R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
MJ32-08S4G;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;1273.15;"0 шт"
MJ32-08S3R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/4;G1/4;-;G1/4;-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
MV32-06S6;"3/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;915.87;"0 шт"
MV32-06S4;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;915.87;"0 шт"
MV32-06S3;"3/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;915.87;"0 шт"
M32-08S6R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
M32-08S5R;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
M32-08S4G;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;1273.15;"0 шт"
M32-08S3R;"3/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1273.15;"0 шт"
M52-08;"5/2 Н.З. Моностабильный";Толкатель;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;-;1324.28;"0 шт"
M52-08S6R;"5/2 Н.З. Моностабильный";"Кнопка грибовидная";"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1425.26;"0 шт"
M52-08S5R;"5/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1425.26;"0 шт"
M52-08S4G;"5/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;1425.26;"0 шт"
M52-08S3R;"5/2 Н.З. Моностабильный";"Кнопка грибовидная с фиксацией";"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Красная;1425.26;"0 шт"
MV32-06S4G;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;"2х M3";-;-;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Зелёная;915.87;"0 шт"
L323-08;"3/2 Бистабильный";Кнопка;-;G1/4;G1/4;-;G1/4;-;"1 370";"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1764.42;"0 шт"
L322-06S;"3/2 Н.З. Моностабильный";Кнопка;"Механическая пружина";G1/8;G1/8;-;G1/8;-;750;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;Чёрная;1565.06;"0 шт"
