headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
H532E-06;"5/3 центральная позиция на выхлоп";"Рукоятка с фиксацией";Ручной;G1/8;G1/8;G1/8;G1/8;G1/8;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2563.13;"20 шт"
MR432-15;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/2;G1/2;G1/2;G1/2;-;3500;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2280.93;"103 шт"
R432-15;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/2;G1/2;G1/2;G1/2;-;3500;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1590.95;"44 шт"
R432-10;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G3/8;G3/8;G3/8;G3/8;-;2500;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1590.95;"23 шт"
R432-08;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/4;-;950;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1590.95;"14 шт"
H534C-15;"5/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/2;G1/2;G1/2;G1/2;G1/2;1650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;3518.48;"4 шт"
H533C-10;"5/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G3/8;G3/8;G3/8;G1/4;G1/4;980;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2932.07;"4 шт"
H532C-08;"5/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/8;G1/8;660;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2563.13;"13 шт"
H534C-15S;"5/3 центральная позиция закрытая";"Рукоятка без фиксации";"Механическая пружина";G1/2;G1/2;G1/2;G1/2;G1/2;1650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;3940.49;"3 шт"
H521-06S;"5/2 моностабильный";"Рукоятка без фиксации";"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1897.75;"10 шт"
H521-06;"5/2 бистабильный";"Рукоятка с фиксацией";Ручной;G1/8;G1/8;G1/8;G1/8;G1/8;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1650.50;"23 шт"
H324-15;"3/2 бистабильный";"Рукоятка с фиксацией";Ручной;G1/2;G1/2;-;G1/2;-;2700;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2397.43;"10 шт"
headers;"Код заказа";"Функция распределителя";"Тип управления";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
H322-08;"3/2 бистабильный";"Рукоятка с фиксацией";G1/4;G1/4;-;G1/4;-;870;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1650.50;"0 шт"
H321-06;"3/2 бистабильный";"Рукоятка с фиксацией";G1/8;G1/8;-;G1/8;-;650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1650.50;"11 шт"
headers;"Код заказа";"Функция распределителя";"Тип управления";"Тип возврата";"Пневматическое присоединение, канал 1";"Пневматическое присоединение, канал 2";"Пневматическое присоединение, канал 4";"Пневматическое присоединение, канал 3";"Пневматическое присоединение, канал 5";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";"Материал уплотнений";price;stock
H522-06;"5/2 бистабильный";"Рукоятка с фиксацией";Ручной;G1/8;G1/8;G1/8;G1/8;G1/8;770;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1425.26;"102 шт"
H531C-06;"5/3 центральная позиция на выхлоп";"Рукоятка с фиксацией";Ручной;G1/8;G1/8;G1/8;G1/8;G1/8;490;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2563.13;"31 шт"
H533C-10S;"5/3 центральная позиция закрытая";"Рукоятка без фиксации";"Механическая пружина";G3/8;G3/8;G3/8;G1/4;G1/4;980;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;3282.88;"22 шт"
H532C-08S;"5/3 центральная позиция закрытая";"Рукоятка без фиксации";"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;660;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2869.93;"42 шт"
H522-08S;"5/2 моностабильный";"Рукоятка без фиксации";"Механическая пружина";G1/4;G1/4;G1/4;G1/8;G1/8;870;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1897.75;"33 шт"
H522-08;"5/2 бистабильный";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/8;G1/8;870;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1425.26;"101 шт"
M432-08;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/4;-;950;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1526.23;"94 шт"
MR432-10;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G3/8;G3/8;G3/8;G3/8;-;2500;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2280.93;"0 шт"
MR432-08;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/4;-;950;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2280.93;"0 шт"
U432-08;"4/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/4;-;650;"0 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1590.95;"0 шт"
H533C-08S;"5/3 центральная позиция закрытая";"Рукоятка без фиксации";"Механическая пружина";G1/4;G1/4;G1/4;G1/4;G1/4;980;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;3223.33;"0 шт"
H531P-06;"5/3 центральная позиция под давлением";"Рукоятка с фиксацией";Ручной;G1/8;G1/8;G1/8;G1/8;G1/8;490;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2561.84;"0 шт"
H531E-06;"5/3 центральная позиция на выхлоп";"Рукоятка с фиксацией";Ручной;G1/8;G1/8;G1/8;G1/8;G1/8;490;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2561.84;"0 шт"
H524-15S;"5/2 моностабильный";"Рукоятка без фиксации";"Механическая пружина";G1/2;G1/2;G1/2;G1/2;G1/2;2750;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;3172.84;"0 шт"
H523-10S;"5/2 моностабильный";"Рукоятка без фиксации";"Механическая пружина";G3/8;G3/8;G3/8;G1/4;G1/4;1650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2177.37;"0 шт"
H524-15;"5/2 бистабильный";"Рукоятка с фиксацией";Ручной;G1/2;G1/2;G1/2;G1/2;G1/2;2750;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2771.55;"0 шт"
H523-10;"5/2 бистабильный";"Рукоятка с фиксацией";Ручной;G3/8;G3/8;G3/8;G1/4;G1/4;1650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1627.20;"0 шт"
H323-10;"3/2 бистабильный";"Рукоятка с фиксацией";Ручной;G3/8;G3/8;-;G3/8;-;1650;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1962.48;"0 шт"
H523-08;"5/2 бистабильный";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/4;G1/4;1400;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;1627.20;"0 шт"
H533C-08;"5/3 центральная позиция закрытая";"Рукоятка с фиксацией";Ручной;G1/4;G1/4;G1/4;G1/4;G1/4;980;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2930.77;"0 шт"
H531C-06S;"5/2 моностабильный";"Рукоятка без фиксации";"Механическая пружина";G1/8;G1/8;G1/8;G1/8;G1/8;490;"0 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;NBR;2869.93;"0 шт"
